A	n
A	n
a lot	r
aa	n
Aachen	n
aardvark	n
aardwolf	n
Aare	n
Aaron	n
Aaron	n
Ab	n
AB	n
aba	n
aba	n
abaca	n
aback	r
aback	r
abacus	n
abacus	n
abalone	n
abandon	n
abandon	v
abandon	v
abandon	v
abandon	v
abandoned	a
abandoned	a
abandoned ship	n
abandonment	n
abandonment	n
abasement	n
abashed	a
abashment	n
abate	v
abatement	n
abattis	n
abattoir	n
abaxial	a
abbacy	n
abbe	n
abbess	n
abbey	n
abbey	n
abbey	n
abbot	n
abbreviate	v
abbreviated	a
abbreviated	a
abbreviation	n
abbreviation	n
abdicate	v
abdication	n
abdication	n
abdomen	n
abdominal	a
abdominal	n
abdominal aortic aneurysm	n
abdominal cavity	n
abdominocentesis	n
abdominous	a
abducent	a
abducent	n
abduct	v
abduction	n
abduction	n
abductor	n
abeam	r
abecedarian	n
Abecedarian	n
abecedarian	a
abed	r
Abel	n
Abel	n
abelia	n
Aberdeen	n
Aberdeen	n
Aberdeen	n
Aberdeen	n
Aberdeen Angus	n
Aberdonian	a
aberrance	n
aberrant	n
aberrant	a
aberration	n
aberration	n
abet	v
abetment	n
abettor	n
abeyance	n
abeyant	a
abhor	v
abhorrence	n
abhorrent	a
abiding	a
Abidjan	n
Abies	n
Abilene	n
Abilene	n
ability	n
ability	n
abiogenesis	n
abject	a
abject	a
abject	a
abject	a
abjectly	r
abjure	v
Abkhaz	n
ablate	v
ablate	v
ablation	n
ablation	n
ablative	a
ablative	n
ablative	a
ablaut	n
ablaze	a
ablaze	a
ablaze	a
ablaze	a
able	a
able	a
able	a
able	a
abloom	a
ablution	n
ablutionary	a
abnegation	n
abnegation	n
abnormal	a
abnormal	a
abnormal	a
abnormal psychology	n
abnormality	n
abnormality	n
abnormality	n
abnormality	n
abnormally	r
aboard	r
aboard	r
aboard	r
aboard	r
abolish	v
abolition	n
abolitionism	n
abolitionist	n
abomasum	n
abominable	a
abominable snowman	n
abomination	n
abomination	n
aboral	a
Aboriginal	a
aboriginal	a
Aborigine	n
abort	n
abort	v
abort	v
abort	v
